category,url,status_code,load_time_ms,ttfb_ms,request_count,total_bytes,seo_title,seo_meta_description,seo_canonical,seo_h1,seo_robots,images_total,images_missing_alt,images_broken,error_count,responsive_issue_count,a11y_violation_count,cls
specialities,/specialities/gastroenterologie-pitesti-%E2%80%93-spitalul-nord-muntenia,200,1906,359,24,60247,Gastroenterologie | NORD Muntenia,"Servicii complete de Gastroenterologie la Spitalul NORD Muntenia Pitesti. Diagnostic, tratament si investigatii moderne pentru afectiuni digestive si hepatice.",https://clauding8-model-b.ddev.site/specialities/gastroenterologie-pitesti-%E2%80%93-spitalul-nord-muntenia,Gastroenterologie la Spitalul NORD Muntenia Pitești; Servicii și investigații; Echipă medicală; Aparate și tehnologie; Patologii și afecțiuni tratate; Intervenții efectuate; Localizare și accesibilitate; Accesează serviciile Spitalului NORD Muntenia Pitești,,11,0,0,3,0,8,0.0
specialities,/specialities/gastroenterologie-pitesti-–-spitalul-nord-muntenia,200,1137,388,45,701437,Gastroenterologie | NORD Muntenia,"Servicii complete de Gastroenterologie la Spitalul NORD Muntenia Pitesti. Diagnostic, tratament si investigatii moderne pentru afectiuni digestive si hepatice.",https://clauding8-model-b.ddev.site/specialities/gastroenterologie-pitesti-%E2%80%93-spitalul-nord-muntenia,Gastroenterologie la Spitalul NORD Muntenia Pitești; Servicii și investigații; Echipă medicală; Aparate și tehnologie; Patologii și afecțiuni tratate; Intervenții efectuate; Localizare și accesibilitate; Accesează serviciile Spitalului NORD Muntenia Pitești,,11,0,0,3,0,8,0.0
specialities,/specialities/hematologie-pitesti-%E2%80%93-spitalul-nord-muntenia-pitesti,200,2269,249,7,60247,Hematologie | NORD Muntenia,"Servicii complete de Hematologie la Spitalul NORD Muntenia Pitesti. Diagnostic, tratament si monitorizare pentru afectiuni ale sangelui si maduvei osoase.",https://clauding8-model-b.ddev.site/specialities/hematologie-pitesti-%E2%80%93-spitalul-nord-muntenia-pitesti,Hematologie la Spitalul NORD Muntenia Pitești; Servicii și investigații; Echipă medicală; Aparate și tehnologie; Patologii și afecțiuni tratate; Intervenții și proceduri; Proces medical; Localizare și accesibilitate; Accesează serviciile Spitalului NORD Muntenia Pitești,,10,0,0,3,0,8,0.0
specialities,/specialities/hematologie-pitesti-–-spitalul-nord-muntenia-pitesti,200,1051,358,44,685588,Hematologie | NORD Muntenia,"Servicii complete de Hematologie la Spitalul NORD Muntenia Pitesti. Diagnostic, tratament si monitorizare pentru afectiuni ale sangelui si maduvei osoase.",https://clauding8-model-b.ddev.site/specialities/hematologie-pitesti-%E2%80%93-spitalul-nord-muntenia-pitesti,Hematologie la Spitalul NORD Muntenia Pitești; Servicii și investigații; Echipă medicală; Aparate și tehnologie; Patologii și afecțiuni tratate; Intervenții și proceduri; Proces medical; Localizare și accesibilitate; Accesează serviciile Spitalului NORD Muntenia Pitești,,10,0,0,3,0,8,0.0
specialities,/specialities/imagistica-medicala-pitesti-spitalul-nord-muntenia,200,1288,552,46,784918,Imagistica Medicala | NORD Muntenia,Servicii complete de Imagistica Medicala la Spitalul NORD Muntenia Pitesti. Diagnostic si monitorizare realizate de medici specialisti.,https://clauding8-model-b.ddev.site/specialities/imagistica-medicala-pitesti-spitalul-nord-muntenia,Imagistică Medicală la Spitalul NORD Muntenia Pitești; Servicii și investigații; Echipă medicală; Aparate și tehnologie; Patologii și afecțiuni investigate; Proces medical; Localizare și accesibilitate; Accesează serviciile Spitalului NORD Muntenia Pitești,,11,0,0,3,0,8,0.0
specialities,/specialities/kinetoterapie-pitesti-%E2%80%93-spitalul-nord-muntenia,200,4210,403,25,60247,Kinetoterapie | NORD Muntenia,Servicii de kinetoterapie la Spitalul Nord Muntenia Pitesti. Programe personalizate pentru refacerea functiilor motrice si recuperare posttraumatica.,https://clauding8-model-b.ddev.site/specialities/kinetoterapie-pitesti-%E2%80%93-spitalul-nord-muntenia,Kinetoterapie la Spitalul Nord Muntenia Pitești; Servicii și investigații; Echipă medicală; Aparate și tehnologie; Patologii și afecțiuni tratate; Proces medical; Localizare și accesibilitate; Accesează serviciile Spitalului NORD Muntenia Pitești,,11,0,0,3,0,8,0.0
specialities,/specialities/kinetoterapie-pitesti-–-spitalul-nord-muntenia,200,5654,717,46,790620,Kinetoterapie | NORD Muntenia,Servicii de kinetoterapie la Spitalul Nord Muntenia Pitesti. Programe personalizate pentru refacerea functiilor motrice si recuperare posttraumatica.,https://clauding8-model-b.ddev.site/specialities/kinetoterapie-pitesti-%E2%80%93-spitalul-nord-muntenia,Kinetoterapie la Spitalul Nord Muntenia Pitești; Servicii și investigații; Echipă medicală; Aparate și tehnologie; Patologii și afecțiuni tratate; Proces medical; Localizare și accesibilitate; Accesează serviciile Spitalului NORD Muntenia Pitești,,11,0,0,3,0,8,0.0
specialities,/specialities/laborator-de-analize-medicale-pite%C8%99ti-spitalul-nord-muntenia,200,2871,288,26,565157,Laborator de Analize Medicale | NORD Muntenia,Analize medicale complete la Spitalul NORD Muntenia Pitești. Diagnostic corect si monitorizare realizate de medici specialisti cu experienta.,https://clauding8-model-b.ddev.site/specialities/laborator-de-analize-medicale-pite%C8%99ti-spitalul-nord-muntenia,Laborator de Analize Medicale la Spitalul NORD Muntenia Pitești; Servicii și investigații; Echipa medicală; Aparate și tehnologie; Patologii și afecțiuni tratate; Proces medical; Localizare și accesibilitate; Accesează serviciile Spitalului NORD Muntenia Pitești,,11,0,0,3,0,8,0.0
specialities,/specialities/laborator-de-analize-medicale-pitești-spitalul-nord-muntenia,200,969,304,46,793858,Laborator de Analize Medicale | NORD Muntenia,Analize medicale complete la Spitalul NORD Muntenia Pitești. Diagnostic corect si monitorizare realizate de medici specialisti cu experienta.,https://clauding8-model-b.ddev.site/specialities/laborator-de-analize-medicale-pite%C8%99ti-spitalul-nord-muntenia,Laborator de Analize Medicale la Spitalul NORD Muntenia Pitești; Servicii și investigații; Echipa medicală; Aparate și tehnologie; Patologii și afecțiuni tratate; Proces medical; Localizare și accesibilitate; Accesează serviciile Spitalului NORD Muntenia Pitești,,11,0,0,3,0,8,0.0
specialities,/specialities/medicina-generala-pitesti-spitalul-nord-muntenia,200,1332,618,46,789441,Medicina Generala | NORD Muntenia,"Servicii complete de Medicina Generala la Spitalul NORD Muntenia Pitesti. Diagnostic, tratament si monitorizare realizate de medici specialisti.",https://clauding8-model-b.ddev.site/specialities/medicina-generala-pitesti-spitalul-nord-muntenia,Medicină Generală la Spitalul NORD Muntenia Pitești; Servicii și investigații; Echipa medicală; Aparate și tehnologie; Patologii și afecțiuni tratate; Proces medical; Localizare și accesibilitate; Accesează serviciile Spitalului NORD Muntenia Pitești,,11,0,0,3,0,8,0.0
